"","Prevotella","Blautia","Agathobacter","Faecalibacterium","Bacteroides","Fusicatenibacter","Subdoligranulum","Ruminococcus","Bifidobacterium","Anaerostipes","Dorea","Akkermansia","Roseburia","Lachnospiraceae_ND3007_group","Christensenellaceae_R-7_group","Streptococcus","Collinsella","Lachnospiraceae(Family)","UCG-002","Coprococcus","Lachnospira","Romboutsia","Lachnospiraceae_NK4A136_group","Erysipelotrichaceae_UCG-003","Alistipes","Parabacteroides","Intestinibacter","CAG-56","Ruminococcaceae(Family)","Lachnoclostridium","Clostridium_sensu_stricto_1","Monoglobus","UCG-005","NK4A214_group","Haemophilus","Lachnospiraceae_UCG-004","Butyricicoccus","Incertae_Sedis","UCG-003","Lachnospiraceae_UCG-001","Lachnospiraceae_FCS020_group","Oscillibacter","Eggerthellaceae(Family)","Odoribacter","Oscillospiraceae(Family)","Marvinbryantia","GCA-900066575","Senegalimassilia","Colidextribacter","UBA1819","Firmicutes(Phylum)"
"Dorea",0,0.9542283946644476,0.9103180692519456,0.9054228363945503,0.7737812424033579,-0.3804062698337256,0,0,0,0.7693169003772976,1,0,0,0,0,0,0,0.967865595613603,0.8066639179419903,0.9588494639102422,0.8628426821447234,0,0.8018526453871173,-0.551816040153706,0.6843027237183925,0,0,0,0,0.8949251560025195,0,0,0.7757330955573561,0,-0.39910012140446033,0,0,0,-0.5630718857475977,0,0,0.5198230410764568,0,0,0.4992598154095729,0,0,0,0,0,0
"Akkermansia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia",0,0,0,0,0,0,0.681327478192841,0,0,0,0,0,1,0.6897684013146214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_ND3007_group",0,0,0,0,0,-0.38839942003633765,0.9773378134509273,0,0,0,0,0,0.6897684013146214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christensenellaceae_R-7_group",-0.3322926642225629,-0.3647337293153765,-0.403153349956452,0,0,0.9210319404497208,0,0.6595143580924893,0,0,0,0,0,0,1,0,0,-0.4399320423650405,-0.6870048689885334,-0.5049714940707869,0,0,0,0,-0.5157692880855589,0,0,0,0,0,0,0.388159013552154,-0.6477613923767591,0,0,0.4450569943467875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42237892654517767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella",0,0,0,0,0,0,0,0,0,-0.3615074188631549,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7489212584963084,0,0,0,0,0,0,0
"Lachnospiraceae(Family)",0,0.9693664981725281,0.9109400257123377,0.9361243133416414,0.8387679348721604,0,0,0,0,0.8147514224355948,0.967865595613603,0,0,0,-0.4399320423650406,0,0,1,0.7760576261795064,0.9640267247063379,0.9086605224654054,0,0.8210246292221101,-0.5868868153203094,0.6988733997343176,0,0,0,0,0.9171204646129507,0,0,0.7510539081301619,0,0,0,0,0,-0.5729164468717646,0,0,0.5243502236474398,0,0,0.5261693354128096,0,0,0,0,0,0
"UCG-002",0,0.7451454743986408,0.7653108937827928,0.7386089680999092,0.5968254409557583,-0.6248714251508862,0,0,0,0.45267437985901043,0.8066639179419903,0,0,0,-0.6870048689885334,0,0,0.7760576261795064,1,0.8546514322989517,0.6172829487127558,0,0.5883222786052699,-0.6045034541297418,0.6002892376323894,0,0,0,0,0.669855091822943,0,-0.3678370384714239,0.7741071619927893,0,-0.4064543761224516,0,0,0,0,0,0,0.4416714145361854,0,0,0.41944522010561786,0,0,0,0,0,0
"Coprococcus",0,0.9438125944278862,0.9306502355577695,0.9262620060327088,0.8051956507420296,0,0,0,0,0.7450068456808905,0.9588494639102424,0,0,0,-0.5049714940707869,0,0,0.9640267247063379,0.8546514322989517,1,0.8701177266075771,0,0.785723365823724,-0.6158552616684763,0.6881621245482998,0,0,0,0,0.9039125204509718,0,0,0.7893430877420442,0,-0.38477462781166755,0,0,0,-0.5289967102924686,0,0,0.5099656406235746,0,0,0.48590558094444897,0,0,0,0,0,0
"Lachnospira",0,0.903477673225854,0.8411866867053458,0.8995685560565885,0.8609619644960796,0,0,0,0,0.8232268090982431,0.8628426821447233,0,0,0,0,0,0,0.9086605224654054,0.6172829487127558,0.8701177266075771,1,0,0.8208975556152696,-0.5521855984984789,0.7366672822761577,0,0,0,0,0.9063627878007425,0,0,0.6622469067309421,0,0,0,0,0,-0.5449814321589594,0,0,0.3862458419083974,0,0,0.49338013666912184,0,0,0,0,0,0
"Romboutsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_NK4A136_group",0,0.7889465120608865,0.7396830655626401,0.7903333520931598,0.7122584144829486,0,0,0,0,0.6761392675038912,0.8018526453871172,0,0,0,0,0,0,0.82102462922211,0.5883222786052699,0.7857233658237239,0.8208975556152694,0,1,-0.5242213881104686,0.6426946504115275,0,0,0,0,0.789607892299181,0,0,0.6803624201558074,0,0,0,0,0,-0.46395982802778557,0,0,0.5144102786758648,0,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_UCG-003",0,-0.5807674943937225,-0.5550847995819419,-0.5762512661627671,-0.5808230642178608,0,0,0,0,-0.4385331033371743,-0.5518160401537059,0,0,0,0,0,0,-0.5868868153203094,-0.6045034541297418,-0.6158552616684763,-0.5521855984984788,0,-0.5242213881104687,1,-0.5665738414215526,0,0,0.4362037650238967,0,-0.4902499359669188,0,0,-0.6719464924642886,0,0,0,0,0,0,0,0.42959157527361735,0,0,0,0,0,0,0,0,0,0
"Alistipes",0,0.6764089695513096,0.6259853426222831,0.6807900231595857,0.803545617213365,0,0,0,0,0.5312751126719008,0.6843027237183925,0,0,0,-0.5157692880855591,0,0,0.6988733997343177,0.6002892376323893,0.6881621245483,0.7366672822761577,0,0.6426946504115275,-0.5665738414215526,1,0,0,-0.5811955294824536,0,0.6423638765385359,0,0,0.6577220085164827,0,0,0,0,0,0,0,0,0.36612706098542164,0,0,0.5298675236454795,0,0,0,0,0,0
"Parabacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4302958924952813,0,0,0,0
"Intestinibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAG-56",0,0,0,0,-0.45399643952991403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4362037650238967,-0.5811955294824536,0,0,1,0,0,0,0,-0.4368430045625546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae(Family)",0,0,0,0,0,0,0,0,0.42519467309003434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium",0,0.9278071591836373,0.8707165407874262,0.8910400990524326,0.7988670549553044,0,0,0,0,0.8115641182153249,0.8949251560025195,0,0,0,0,0,0,0.9171204646129507,0.669855091822943,0.9039125204509719,0.9063627878007425,0,0.7896078922991809,-0.49024993596691874,0.6423638765385359,0,0,0,0,1,0,0,0.6184792399742721,0,0,0,0,0,-0.5621815131276027,0,0,0.4779421205347156,0,0,0.5199960795255634,0,0,0,0,0,0
"Clostridium_sensu_stricto_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monoglobus",0,0,0,0,0,0.43390267012695793,0,0,0,0,0,0,0,0,0.388159013552154,0,0,0,-0.36783703847142396,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCG-005",0,0.7182432849725574,0.6248526590100213,0.6174522502200582,0.5943381410362522,-0.6143117434993862,0,0,0,0.5108250055813166,0.7757330955573561,0,0,0,-0.6477613923767592,-0.42237892654517767,0,0.751053908130162,0.7741071619927893,0.7893430877420441,0.6622469067309421,0,0.6803624201558073,-0.6719464924642886,0.6577220085164825,0,0,-0.4368430045625539,0,0.6184792399742721,0,0,1,0,0,0,0,0,0,0,0,0.43237421977685364,0,0,0.561034434836901,0,0,0,0,0,0
"NK4A214_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,-0.38959369971741803,0,0,0,0,0,0,0,-0.3534181336756941,-0.3991001214044603,0,0,0,0,0,0,0,-0.4064543761224516,-0.38477462781166755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_UCG-004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4450569943467875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.587933646148127,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incertae_Sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5879336461481272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCG-003",0,-0.5794782671254675,-0.535918822607993,-0.5774906620942832,-0.5642826349570285,0,0,0,0,-0.5924231874494763,-0.5630718857475977,0,0,0,0,0,0,-0.5729164468717646,0,-0.5289967102924686,-0.5449814321589594,0,-0.4639598280277855,0,0,0,0,0,0,-0.5621815131276027,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_UCG-001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_FCS020_group",0,0,-0.38362311088751655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4295915752736174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Oscillibacter",-0.3666252505472784,0.517145011278236,0,0.4418510828250609,0.5378948608320403,0,0,0,0,0,0.519823041076458,0,0,0,0,0,0,0.5243502236474398,0.4416714145361854,0.5099656406235746,0.3862458419083974,0,0.5144102786758648,0,0.3661270609854217,0,0,0,0,0.4779421205347156,0,0,0.4323742197768536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Eggerthellaceae(Family)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Odoribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7489212584963084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Oscillospiraceae(Family)",0,0.5224078103022304,0.49280588599036645,0.46919168052602345,0.5408176277309956,0,0,0,0,0,0.4992598154095728,0,0,0,0,0,0,0.5261693354128102,0.41944522010561786,0.48590558094444897,0.4933801366691218,0,0,0,0.5298675236454795,0,0,0,0,0.5199960795255635,0,0,0.561034434836901,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Marvinbryantia",0,0,0,0,-0.44046638214560113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"GCA-900066575",0,-0.3479668810629123,0,0,0,0,0,0,0,-0.45141301113227167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43029589249528133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Senegalimassilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Colidextribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UBA1819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5028028709963838
"Firmicutes(Phylum)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5028028709963838,1
